Site identifier,Site,Longitude,Latitude,Lab sample identifier,Material,AMS date on cereal?,14C age BP,1-sigma uncertainty,Age range (BC/AD),Age range lower (BP),Age range upper (BP),Reference,Crops Present,Wheat,Barley,Foxtail millet,Broomcorn millet,Millet (unidentified),Rice,Rice (wild),Echnicloa,Paspalum,Sorghum,Oat,Rye,Buckwheat,Bracharia,Eleusine coracana,Pennesitum
518,Wolgi-ri,126.77,36.1,,,FALSE,,,510-380 BC,2500,2330,Lee & Jo 2002,"Rice, Foxtail Millet, wheat",TRUE,,TRUE,,,TRUE,,,,,,,,,,
519,Wolnae-dong,127.83,34.83,,,FALSE,,,800-400 BC,2750,2350,Ji & Cho 1992,Rice,,,,,,TRUE,,,,,,,,,,
520,Wonbuk-ri,127.04,36.23,,,FALSE,,,800-400 BC,2750,2350, Ji & Cho 1992; Ahn 2002b,Rice,,,,,,TRUE,,,,,,,,,,
521,Wupaer,75.39,39.33,OZK661,Wheat seed,TRUE,2540,50,,,,Dodson et al.2013,Wheat,TRUE,,,,,,,,,,,,,,,
521,Wupaer,75.39,39.33,OZK660,Wheat seed,TRUE,2595,50,,,,Dodson et al.2013,Wheat,TRUE,,,,,,,,,,,,,,,
521,Wupaer,75.39,39.33,OZL442,Wheat seed,TRUE,2856,40,,,,Dodson et al.2013,Wheat,TRUE,,,,,,,,,,,,,,,
521,Wupaer,75.39,39.33,OZL441,Wheat grains,TRUE,3155,39,,,,"Dodson et al., 2013",Wheat,TRUE,,,,,,,,,,,,,,,
521,Wupaer,75.39,39.33,OZL441,Wheat seed,TRUE,3155,39,,,,Dodson et al.2013,Wheat,TRUE,,,,,,,,,,,,,,,
521,Wupaer,75.39,39.33,OZL443,Wheat seed,TRUE,2497,36,,,,Dodson et al.2013,Wheat,TRUE,,,,,,,,,,,,,,,
522,Wuwan (WUW),113.12,34.4,,,FALSE,,,2200-1800 BC,4150,3750,Fuller & Zhang 2007; Zhang et al. 2010,"Rice, broomcorn, foxtail millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
523,Xiacunjiazhai ,101.75,36.75,BA120205 ,Barley,TRUE,3665,25,,,,Chen et al. 2015,"Broomcorn millet, barley",TRUE,,,TRUE,,,,,,,,,,,,
524,Xianrendong,117.07,28.69,,,FALSE,,,15000-12000 BC,16950,13950,MacNeish and Libby 1995; Zhao 1998; Lu 2006,Wild rice,,,,,,TRUE,,,,,,,,,,
525,Xianzong,118.33,29.71,,,FALSE,,,,,,"Tang,Min & Sato 1993",Rice,,,,,,TRUE,,,,,,,,,,
526,Xiaohe,88.67,40.33,BA05795,Millet seed,TRUE,3200,40,,,,Flad et al.2010,"Wheat, broomcorn millet",TRUE,,,TRUE,,,,,,,,,,,,
526,Xiaohe,88.67,40.33,BA05793,Millet seed,TRUE,3240,40,,,,Flad et al.2010,"Wheat, broomcorn millet",TRUE,,,TRUE,,,,,,,,,,,,
526,Xiaohe,88.67,40.33,BA05796,Millet seed,TRUE,3290,40,,,,Flad et al.2010,"Wheat, broomcorn millet",TRUE,,,TRUE,,,,,,,,,,,,
526,Xiaohe,88.67,40.33,BA05794,Wheat seed,TRUE,3305,40,,,,Flad et al.2010,"Wheat, broomcorn millet",TRUE,,,TRUE,,,,,,,,,,,,
526,Xiaohe,88.67,40.33,BA05803,Wheat seed,TRUE,3375,40,,,,Flad et al.2010,"Wheat, broomcorn millet",TRUE,,,TRUE,,,,,,,,,,,,
526,Xiaohe,88.67,40.33,BA05804,Millet seed,TRUE,3545,40,,,,Flad et al.2010,"Wheat, broomcorn millet",TRUE,,,TRUE,,,,,,,,,,,,
526,Xiaohe,88.67,40.33,BA05791,Wheat seed,TRUE,3225,30,,,,Flad et al.2010,"Wheat, broomcorn millet",TRUE,,,TRUE,,,,,,,,,,,,
526,Xiaohe,88.67,40.33,,Wheat present false direct date,FALSE,,,2011—1464 cal. BC,3961,3414,"Xinjiang Kaogusuo, 2003 and Li et al., 2011","Wheat, broomcorn millet",TRUE,,,TRUE,,,,,,,,,,,,
526,Xiaohe,88.67,40.33,,Wheat grains,FALSE,,,1755—1427 cal. BC,3705,3377,"Xinjiang Kaogusuo, 2003 and Li et al., 2011","Wheat, broomcorn millet",TRUE,,,TRUE,,,,,,,,,,,,
527,Xiaojin,110.83,24.96,,,FALSE,,,4500-3500 BC,6450,5450,Rispoli 2008: 269; Lu 2009,Rice,,,,,,TRUE,,,,,,,,,,
528,Xiariyamakebu ,97.47,36.01,BA120179 ,Wheat,TRUE,3100,30,,,,Chen et al. 2015,"Foxtail millet, barley, wheat",TRUE,TRUE,TRUE,,,,,,,,,,,,,
529,Xiasunjiazhai ,101.75,36.75,BA120204 ,Broomcorn,TRUE,3680,25,,,,Chen et al. 2015,Broomcorn millet,,,,TRUE,,,,,,,,,,,,
530,Xiasunjiazhai ,101.75,36.75,BA120205,Barley,TRUE,3665,25,,,,Chen et al. 2015,"Broomcorn millet, barley",,TRUE,,TRUE,,,,,,,,,,,,
531,Xiawatai ,102.14,36.73,BA120183 ,Barley,TRUE,2750,30,,,,Chen et al. 2015,"Broomcorn millet, barley, wheat",TRUE,TRUE,,TRUE,,,,,,,,,,,,
532,Xiawu (XIW),113.38,34.23,,,FALSE,,,2200-1800 BC,4150,3750,Fuller & Zhang 2007; Zhang et al. 2010,"Rice, broomcorn, foxtail millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
533,Xiayukou (XYK),111.39,35.43,,,FALSE,,,2400-1900 BC,4350,3850,Song 2011,"Rice, broomcorn, foxtail millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
534,Xicaozi,89.49,43.72,OZM674,Wheat seed,TRUE,2975,45,,,,Dodson et al.2013,Wheat,TRUE,,,,,,,,,,,,,,,
535,Xifandian (XFD),113.08,34.57,,,FALSE,,,2200-1800 BC,4150,3750,Fuller & Zhang 2007; Zhang et al. 2010,"Rice, broomcorn, foxtail millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
536,Xindian,103.79,35.61,BA120683,Barley,TRUE,2805,35,,,,Dong et al.2014,"Wheat, barley",TRUE,TRUE,,,,,,,,,,,,,,
537,Xinglongwa,120.65,42.38,ZK-1390,Charcoal,FALSE,6700,205,,,,"Institute of Archaeology, Chinese Academy of Social Sciences.1991","Broomcorn Millet, Foxtail Millet",,,TRUE,TRUE,,,,,,,,,,,,
537,Xinglongwa,120.65,42.38,ZK-2715,Charcoal,FALSE,6358,128,,,,"Institute of Archaeology, Chinese Academy of Social Sciences.1994","Broomcorn Millet, Foxtail Millet",,,TRUE,TRUE,,,,,,,,,,,,
537,Xinglongwa,120.65,42.38,ZK-2716,Charcoal,FALSE,6562,117,,,,"Institute of Archaeology, Chinese Academy of Social Sciences.1994","Broomcorn Millet, Foxtail Millet",,,TRUE,TRUE,,,,,,,,,,,,
537,Xinglongwa,120.65,42.38,ZK-1391,Charcoal,FALSE,7260,115,,,,"Institute of Archaeology, Chinese Academy of Social Sciences.1991","Broomcorn Millet, Foxtail Millet",,,TRUE,TRUE,,,,,,,,,,,,
537,Xinglongwa,120.65,42.38,ZK-2719,Charcoal,FALSE,3994,112,,,,"Institute of Archaeology, Chinese Academy of Social Sciences.1994","Broomcorn Millet, Foxtail Millet",,,TRUE,TRUE,,,,,,,,,,,,
537,Xinglongwa,120.65,42.38,ZK-2714,Charcoal,FALSE,6416,107,,,,"Institute of Archaeology, Chinese Academy of Social Sciences.1994","Broomcorn Millet, Foxtail Millet",,,TRUE,TRUE,,,,,,,,,,,,
537,Xinglongwa,120.65,42.38,ZK-2711,Charcoal,FALSE,6584,105,,,,"Institute of Archaeology, Chinese Academy of Social Sciences.1994","Broomcorn Millet, Foxtail Millet",,,TRUE,TRUE,,,,,,,,,,,,
537,Xinglongwa,120.65,42.38,ZK-1393,Charcoal,FALSE,6770,95,,,,"Institute of Archaeology, Chinese Academy of Social Sciences.1991","Broomcorn Millet, Foxtail Millet",,,TRUE,TRUE,,,,,,,,,,,,
537,Xinglongwa,120.65,42.38,ZK-1392,Charcoal,FALSE,7040,95,,,,"Institute of Archaeology, Chinese Academy of Social Sciences.1991","Broomcorn Millet, Foxtail Millet",,,TRUE,TRUE,,,,,,,,,,,,
537,Xinglongwa,120.65,42.38,ZK-1394,Charcoal,FALSE,5700,90,,,,"Institute of Archaeology, Chinese Academy of Social Sciences.1991","Broomcorn Millet, Foxtail Millet",,,TRUE,TRUE,,,,,,,,,,,,
537,Xinglongwa,120.65,42.38,ZK-2718,Charcoal,FALSE,3537,85,,,,"Institute of Archaeology, Chinese Academy of Social Sciences.1994","Broomcorn Millet, Foxtail Millet",,,TRUE,TRUE,,,,,,,,,,,,
537,Xinglongwa,120.65,42.38,ZK-2064,Charcoal,FALSE,5570,85,,,,"Institute of Archaeology, Chinese Academy of Social Sciences.1991","Broomcorn Millet, Foxtail Millet",,,TRUE,TRUE,,,,,,,,,,,,
