Site identifier,Site,Longitude,Latitude,Lab sample identifier,Material,AMS date on cereal?,14C age BP,1-sigma uncertainty,Age range (BC/AD),Age range lower (BP),Age range upper (BP),Reference,Crops Present,Wheat,Barley,Foxtail millet,Broomcorn millet,Millet (unidentified),Rice,Rice (wild),Echnicloa,Paspalum,Sorghum,Oat,Rye,Buckwheat,Bracharia,Eleusine coracana,Pennesitum
547,Yanghai,89.65,42.8,BA04538,Hemp,TRUE,2475,30,,,,Flad et al.2010,"Naked Barley, Breadwheat, Broomcorn millet",TRUE,TRUE,,TRUE,,,,,,,,,,,,
547,Yanghai,89.65,42.8,??,Wheat,TRUE,2620,20,,,,Jiang Hongen personal communication,"Naked Barley, Breadwheat, Broomcorn millet",TRUE,TRUE,,TRUE,,,,,,,,,,,,
548,Yangjiayyuan,120.84,37.29,,,FALSE,,,2500-1850 BC,4450,3800,Luan 2007,Rice,,,,,,TRUE,,,,,,,,,,
549,Yangjiazhaipo ,101.71,36.84,BA110912 ,Foxtail Millet,TRUE,3715,25,,,,Chen et al. 2015,"Foxtail, broomcorn millet",,,TRUE,TRUE,,,,,,,,,,,,
550,Yangou ,102.43,35.88,BA110891 ,Barley,TRUE,2460,30,,,,Chen et al. 2015,"Foxtail millet, broomcorn millet, barley",,TRUE,TRUE,TRUE,,,,,,,,,,,,
551,Yaowangcheng,119.38,35.31,,,FALSE,,,2600-1900 BC,4550,3850,Zhongguo Wenwu Bao 1994; in Crawford&al. 2005,Rice,,,,,,TRUE,,,,,,,,,,
552,Yaum-dong,129.31,35.52,,,FALSE,,,900-700 BC,2850,2650,Ahn 2010,Rice,,,,,,TRUE,,,,,,,,,,
553,Yeongchang-ri,128.17,35.58,,,FALSE,,,300-100 BC,2250,2050,Gyongnam Archaeological Institute 2002.,Rice,,,,,,TRUE,,,,,,,,,,
554,Yingpan cemetery,87.75,40.8,UBA-21945,Broomcorn millet,TRUE,1844,32,,,,Chen Tao et al 2016,"Broomcorn millet, wheat, barley",TRUE,TRUE,,TRUE,,,,,,,,,,,,
555,Yingpandi ,102.61,36.23,BA120200 ,Barley,TRUE,2760,25,,,,Chen et al. 2015,"Wheat, barley",TRUE,TRUE,,,,,,,,,,,,,,
556,Yingpanshan,103.83,31.66,BA03281,Charcoal,FALSE,4170,60,,,,Zhao&Chen.2011,Millet associated with charcoal,,,,,TRUE,,,,,,,,,,,
556,Yingpanshan,103.83,31.66,BA03280,Charcoal,FALSE,4390,60,,,,Zhao&Chen.2011,Millet associated with charcoal,,,,,TRUE,,,,,,,,,,,
556,Yingpanshan,103.83,31.66,ZK-3211,Charcoal,FALSE,4419,32,,,,"Institute of Archaeology, Chinese Academy of Social Sciences.2005",Millet associated with charcoal,,,,,TRUE,,,,,,,,,,,
556,Yingpanshan,103.83,31.66,ZK-3210,Charcoal,FALSE,4274,31,,,,"Institute of Archaeology, Chinese Academy of Social Sciences.2005",Millet associated with charcoal,,,,,TRUE,,,,,,,,,,,
556,Yingpanshan,103.83,31.66,ZK-3208,Charcoal,FALSE,4416,31,,,,"Institute of Archaeology, Chinese Academy of Social Sciences.2005",Millet associated with charcoal,,,,,TRUE,,,,,,,,,,,
557,Yingyang,112.76,34.41,BK92065,Charred millet seeds,TRUE,4950,85,,,,Radiocarbon laboratory of Peking University.1996,Millet,,,,,TRUE,,,,,,,,,,,
558,Yona,144.74,13.41,,,FALSE,,,1300-1500 AD,650,450,Hunter-Anderson et al. 1995,Rice,,,,,,TRUE,,,,,,,,,,
559,Yonggok-dong,127.13,36.79,,,FALSE,,,1300-800 BC,3250,2750,CRICH 2008,"Rice, broomcorn, foxtail millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
560,Youfangtou (YFT),113.03,34.38,,,FALSE,,,2200-1800 BC,4150,3750,Fuller & Zhang 2007; Zhang et al. 2010,"Rice, broomcorn, foxtail millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
561,Yuancun (YUC),113.03,34.39,,,FALSE,,,4000-3000 BC,5950,4950,Fuller & Zhang 2007; Zhang et al. 2010,"Rice, broomcorn, foxtail millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
562,Yuangjiaquan,120.92,37.32,,,FALSE,,,2600-1900 BC,4550,3850,Luan et al 2007,"Rice, millets",,,,,TRUE,TRUE,,,,,,,,,,
563,Yuanqiao(YUQ),113,34.39,,,FALSE,,,4000-3000 BC,5950,4950,Fuller & Zhang 2007; Zhang et al. 2010,"Rice, broomcorn, foxtail millet",,,TRUE,TRUE,,,,,,,,,,,,
564,Yuanqushangcheng(Dong guan),111.85,35.09,BK84077,Charred millet seeds,TRUE,3550,90,,,,"Institute of Archaeology, Chinese Academy of Social Sciences.1991",Millet,,,,,TRUE,,,,,,,,,,,
565,Yuchanyan,111.6,25.53,,,FALSE,,,15000-12000 BC,16950,13950,Yuan 2002; Lu 2006; Boaretto et al. 2009,Wild rice,,,,,,TRUE,,,,,,,,,,
566,Yuchisi,116.56,33.26,ZK-3151,Charcoal,FALSE,3970,158,,,,Wang & Jia 1998 Kaogu; in Crawford &al. 2005,Rice,,,,,,TRUE,,,,,,,,,,
566,Yuchisi,116.56,33.26,ZK-2562,Charcoal,FALSE,4080,105,,,,Wang & Jia 1998 Kaogu; in Crawford &al. 2005,Rice,,,,,,TRUE,,,,,,,,,,
566,Yuchisi,116.56,33.26,ZK-2561,Charcoal,FALSE,3950,100,,,,Wang & Jia 1998 Kaogu; in Crawford &al. 2005,Rice,,,,,,TRUE,,,,,,,,,,
566,Yuchisi,116.56,33.26,ZK-2689,Charcoal,FALSE,3988,90,,,,Wang & Jia 1998 Kaogu; in Crawford &al. 2005,Rice,,,,,,TRUE,,,,,,,,,,
566,Yuchisi,116.56,33.26,ZK-2563,Charcoal,FALSE,4100,90,,,,Wang & Jia 1998 Kaogu; in Crawford &al. 2005,Rice,,,,,,TRUE,,,,,,,,,,
566,Yuchisi,116.56,33.26,ZK-2688,Charcoal,FALSE,3832,89,,,,Wang & Jia 1998 Kaogu; in Crawford &al. 2005,Rice,,,,,,TRUE,,,,,,,,,,
566,Yuchisi,116.56,33.26,ZK-2691,Charcoal,FALSE,3560,87,,,,Wang & Jia 1998 Kaogu; in Crawford &al. 2005,Rice,,,,,,TRUE,,,,,,,,,,
566,Yuchisi,116.56,33.26,ZK-2690,Charcoal,FALSE,3922,87,,,,Wang & Jia 1998 Kaogu; in Crawford &al. 2005,Rice,,,,,,TRUE,,,,,,,,,,
566,Yuchisi,116.56,33.26,ZK-2848,Charcoal,FALSE,3706,85,,,,Wang & Jia 1998 Kaogu; in Crawford &al. 2005,Rice,,,,,,TRUE,,,,,,,,,,
566,Yuchisi,116.56,33.26,ZK-2692,Charcoal,FALSE,3472,82,,,,Wang & Jia 1998 Kaogu; in Crawford &al. 2005,Rice,,,,,,TRUE,,,,,,,,,,
567,Yuergou,87.87,42.83,BA091340,Stem,FALSE,2295,50,,,,Jiang et al. 2013,"Wheat, barley, broomcorn millet, foxtail millet",TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,
567,Yuergou,87.87,42.83,BA091341,Charcoal,FALSE,2460,35,,,,Jiang et al. 2013,"Wheat, barley, broomcorn millet, foxtail millet",TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,
568,Yuezhuang,116.83,36.62,,,FALSE,,,,,,Crawford et al. 2006,"Rice, broomcorn, foxtail millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
569,"Yunnan, Qujing",103.9,25.54,ZK-3105,Charred rice,TRUE,3036,54,,,,"Institute of Archaeology, Chinese Academy of Social Sciences.2001",Rice,,,,,,TRUE,,,,,,,,,,
570,Zaojiaoshu,112.4,34.65,,,FALSE,,,2000-1800 BC,3950,3800,C.Zhao 2005,"Rice, wheat, barley",TRUE,TRUE,,,,TRUE,,,,,,,,,,
570,Zaojiaoshu,112.4,34.65,,,FALSE,,,1800-1700 BC,3750,3650,C.Zhao 2005,"Rice, wheat, barley",TRUE,TRUE,,,,TRUE,,,,,,,,,,
570,Zaojiaoshu,112.4,34.65,,,FALSE,,,1700-1500 BC,3650,3450,C.Zhao 2005,"Rice, wheat, barley",TRUE,TRUE,,,,TRUE,,,,,,,,,,
571,Zaoshi(lower layer),111.24,29.65,,,FALSE,,,6000-5500 BC,7950,7450,An 1999,Rice,,,,,,TRUE,,,,,,,,,,
572,Zhangga ,102.56,35.73,Beta-292122 ,Foxtail Millet,TRUE,4340,40,,,,Chen et al. 2015,"Foxtail, broomcorn millet",,,TRUE,TRUE,,,,,,,,,,,,
573,Zhaobaogou,120.16,42.35,ZK-2137,Charcoal,FALSE,5980,95,,,,"Institute of Archaeology, Chinese Academy of Social Sciences.1991",Presumed foxtail and broomcorn millet,,,TRUE,TRUE,,,,,,,,,,,,
573,Zhaobaogou,120.16,42.35,ZK-2135,Charcoal,FALSE,6030,85,,,,"Institute of Archaeology, Chinese Academy of Social Sciences.1991",Presumed foxtail and broomcorn millet,,,TRUE,TRUE,,,,,,,,,,,,
573,Zhaobaogou,120.16,42.35,ZK-2136,Charcoal,FALSE,6040,85,,,,"Institute of Archaeology, Chinese Academy of Social Sciences.1991",Presumed foxtail and broomcorn millet,,,TRUE,TRUE,,,,,,,,,,,,
574,Zhaocheng,112.84,34.62,,,FALSE,,,,,,Lee &al. 2007,"Rice, Foxtail Millet",,,TRUE,,,TRUE,,,,,,,,,,
575,Zhaojialai,,,,,FALSE,,,ca. 2400—2000 BC,4350,3950,"Huang, 1991",Carbonized (?) wheat stems,TRUE,,,,,,,,,,,,,,,
576,Zhaojiazhuang ,102.39,36.43,BA110904 ,Foxtail Millet,TRUE,3595,25,,,,Chen et al. 2015,"Foxtail millet, broomcorn millet",,,TRUE,TRUE,,,,,,,,,,,,
576,Zhaojiazhuang,119.93,36.25,,,FALSE,,,2500—2270 cal. BC,4450,4220,"Jin et al., 2011",Carbonized wheat,TRUE,,,,,,,,,,,,,,,
576,Zhaojiazhuang,119.93,36.25,,,FALSE,,,2562—2208 cal. BC,4512,4158,"Jin et al., 2011",Carbonized wheat,TRUE,,,,,,,,,,,,,,,
577,"Zhejiang, Wuxing",120.14,30.84,ZK-0049,Charred rice,TRUE,4570,100,,,,"Institute of Archaeology, Chinese Academy of Social Sciences.1991",Rice,,,,,,TRUE,,,,,,,,,,
578,Zhongba,108.03,30.28,BA01434,Bone,FALSE,3110,120,,,,Wu et al.2007,"Rice, Broomcorn, Foxtail Millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
578,Zhongba,108.03,30.28,BA01384,Bone,FALSE,3110,100,,,,Wu et al.2007,"Rice, Broomcorn, Foxtail Millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
578,Zhongba,108.03,30.28,BA01435,Bone,FALSE,3240,100,,,,Wu et al.2007,"Rice, Broomcorn, Foxtail Millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
578,Zhongba,108.03,30.28,BA02030,Bone,FALSE,3640,100,,,,Wu et al.2007,"Rice, Broomcorn, Foxtail Millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
578,Zhongba,108.03,30.28,BA02028,Bone,FALSE,3660,100,,,,Wu et al.2007,"Rice, Broomcorn, Foxtail Millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
578,Zhongba,108.03,30.28,BA01398,Bone,FALSE,3880,90,,,,Wu et al.2007,"Rice, Broomcorn, Foxtail Millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
578,Zhongba,108.03,30.28,BA01357,Bone,FALSE,2430,80,,,,Wu et al.2007,"Rice, Broomcorn, Foxtail Millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
578,Zhongba,108.03,30.28,BA01380,Bone,FALSE,2480,80,,,,Wu et al.2007,"Rice, Broomcorn, Foxtail Millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
578,Zhongba,108.03,30.28,BA01439,Bone,FALSE,2730,80,,,,Wu et al.2007,"Rice, Broomcorn, Foxtail Millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
578,Zhongba,108.03,30.28,BA02018,Bone,FALSE,3800,80,,,,Wu et al.2007,"Rice, Broomcorn, Foxtail Millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
578,Zhongba,108.03,30.28,BA01361,Bone,FALSE,2380,70,,,,Wu et al.2007,"Rice, Broomcorn, Foxtail Millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
578,Zhongba,108.03,30.28,BA01424,Bone,FALSE,2390,70,,,,Wu et al.2007,"Rice, Broomcorn, Foxtail Millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
578,Zhongba,108.03,30.28,BA01429,Bone,FALSE,2490,70,,,,Wu et al.2007,"Rice, Broomcorn, Foxtail Millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
578,Zhongba,108.03,30.28,BA01374,Bone,FALSE,2520,70,,,,Wu et al.2007,"Rice, Broomcorn, Foxtail Millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
578,Zhongba,108.03,30.28,BA01437,Bone,FALSE,2680,70,,,,Wu et al.2007,"Rice, Broomcorn, Foxtail Millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
578,Zhongba,108.03,30.28,BA01419,Bone,FALSE,2430,60,,,,Wu et al.2007,"Rice, Broomcorn, Foxtail Millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
578,Zhongba,108.03,30.28,BA01368,Bone,FALSE,2450,60,,,,Wu et al.2007,"Rice, Broomcorn, Foxtail Millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
578,Zhongba,108.03,30.28,BA01420,Bone,FALSE,2460,60,,,,Wu et al.2007,"Rice, Broomcorn, Foxtail Millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
578,Zhongba,108.03,30.28,BA01409,Bone,FALSE,2460,60,,,,Wu et al.2007,"Rice, Broomcorn, Foxtail Millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
578,Zhongba,108.03,30.28,BA01373,Bone,FALSE,2540,60,,,,Wu et al.2007,"Rice, Broomcorn, Foxtail Millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
578,Zhongba,108.03,30.28,BA01367,Bone,FALSE,2600,60,,,,Wu et al.2007,"Rice, Broomcorn, Foxtail Millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
578,Zhongba,108.03,30.28,BA01362,Bone,FALSE,2640,60,,,,Wu et al.2007,"Rice, Broomcorn, Foxtail Millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
578,Zhongba,108.03,30.28,BA01433,Bone,FALSE,2780,60,,,,Wu et al.2007,"Rice, Broomcorn, Foxtail Millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
578,Zhongba,108.03,30.28,BA01382,Bone,FALSE,3100,60,,,,Wu et al.2007,"Rice, Broomcorn, Foxtail Millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
578,Zhongba,108.03,30.28,BA01397,Bone,FALSE,3540,60,,,,Wu et al.2007,"Rice, Broomcorn, Foxtail Millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
578,Zhongba,108.03,30.28,BA01390,Bone,FALSE,3590,60,,,,Wu et al.2007,"Rice, Broomcorn, Foxtail Millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
578,Zhongba,108.03,30.28,BA01403,Bone,FALSE,3840,60,,,,Wu et al.2007,"Rice, Broomcorn, Foxtail Millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
578,Zhongba,108.03,30.28,Beta-181180,Bone,FALSE,2520,50,,,,Wu et al.2007,"Rice, Broomcorn, Foxtail Millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
578,Zhongba,108.03,30.28,Beta-181182,Bone,FALSE,3640,50,,,,Wu et al.2007,"Rice, Broomcorn, Foxtail Millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
578,Zhongba,108.03,30.28,Beta-181179,Bone,FALSE,2380,40,,,,Wu et al.2007,"Rice, Broomcorn, Foxtail Millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
578,Zhongba,108.03,30.28,Beta-181181,Bone,FALSE,2820,40,,,,Wu et al.2007,"Rice, Broomcorn, Foxtail Millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
578,Zhongba,108.03,30.28,Beta-181183,Bone,FALSE,4010,40,,,,Wu et al.2007,"Rice, Broomcorn, Foxtail Millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
579,Zhonglu,101.93,30.89,BK90143,Charcoal,FALSE,3785,100,,,,Radiocarbon laboratory of Peking University.1996,?,,,,,,,,,,,,,,,,
579,Zhonglu,101.93,30.89,BK90156,Charcoal,FALSE,4210,90,,,,Radiocarbon laboratory of Peking University.1996,?,,,,,,,,,,,,,,,,
579,Zhonglu,101.93,30.89,BK92014,Charcoal,FALSE,4265,90,,,,Radiocarbon laboratory of Peking University.1996,?,,,,,,,,,,,,,,,,
579,Zhonglu,101.93,30.89,BK92015,Charcoal,FALSE,4360,90,,,,Radiocarbon laboratory of Peking University.1996,?,,,,,,,,,,,,,,,,
579,Zhonglu,101.93,30.89,BK90140,Charcoal,FALSE,3710,80,,,,Radiocarbon laboratory of Peking University.1996,?,,,,,,,,,,,,,,,,
579,Zhonglu,101.93,30.89,BK90139,Charcoal,FALSE,3855,80,,,,Radiocarbon laboratory of Peking University.1996,?,,,TRUE,TRUE,,TRUE,,,,,,,,,,
579,Zhonglu,101.93,30.89,BK90144,Charcoal,FALSE,3910,80,,,,Radiocarbon laboratory of Peking University.1996,?,,,,,,,,,,,,,,,,
579,Zhonglu,101.93,30.89,BK92016,Charcoal,FALSE,4000,80,,,,Radiocarbon laboratory of Peking University.1996,?,,,,,,,,,,,,,,,,
579,Zhonglu,101.93,30.89,BK92013,Charcoal,FALSE,4200,80,,,,Radiocarbon laboratory of Peking University.1996,?,,,,,,,,,,,,,,,,
579,Zhonglu,101.93,30.89,BK90153,Charcoal,FALSE,4540,80,,,,Radiocarbon laboratory of Peking University.1996,?,,,,,,,,,,,,,,,,
579,Zhonglu,101.93,30.89,BK90145,Charcoal,FALSE,4790,80,,,,Radiocarbon laboratory of Peking University.1996,?,,,,,,,,,,,,,,,,
579,Zhonglu,101.93,30.89,BK90152,Charcoal,FALSE,3825,75,,,,Radiocarbon laboratory of Peking University.1996,?,,,,,,,,,,,,,,,,
579,Zhonglu,101.93,30.89,BK90154,Charcoal,FALSE,4195,75,,,,Radiocarbon laboratory of Peking University.1996,?,,,,,,,,,,,,,,,,
579,Zhonglu,101.93,30.89,BK90155,Charcoal,FALSE,4015,70,,,,Radiocarbon laboratory of Peking University.1996,?,,,,,,,,,,,,,,,,
579,Zhonglu,101.93,30.89,BK92017,Charcoal,FALSE,3970,60,,,,Radiocarbon laboratory of Peking University.1996,?,,,,,,,,,,,,,,,,
580,Zhongtan ,101.95,36.1,Beta-303694 ,Foxtail Millet,TRUE,3640,30,,,,Chen et al. 2015,"Foxtail, broomcorn millet",,,TRUE,TRUE,,,,,,,,,,,,
581,Zhoujiazhuang (ZJZ),111.48,35.48,,,FALSE,,,2600-2400 BC,4550,4350,Song 2011,"Rice, broomcorn, foxtail millet",,,TRUE,TRUE,,TRUE,,,,,,,,,,
582,Zhouyuan,107.9,34.41,,,FALSE,,,2500-1800 BC,4450,3750,Zhao and Xu 2004,"Wheat, rice, broomcorn millet, foxtail millet",TRUE,,TRUE,TRUE,,TRUE,,,,,,,,,,
583,Zhuanglixi,117.16,35.08,,,FALSE,,,2600-1900 BC,4550,3850,Kong & al. 1999; in Crawford &al. 2005,"Rice, millets",,,,,TRUE,TRUE,,,,,,,,,,
584,Zhujiazui,112.53,30.18,,,FALSE,,,3500-3000 BC,5450,4950,An 1999 ,Rice,,,,,,TRUE,,,,,,,,,,
585,Qasim Bagh,74.5,34.22,Ansto OZT621   ,Charcoal/QB2,TRUE,3240,70,,,,Spate et al. 2017,"Wheat, broomcorn millet, lentil, pea",TRUE,,,TRUE,,,,,,,,,,,,
585,Qasim Bagh,74.5,34.22,Ansto OZT624 ,Charcoal/QB8,TRUE,4030,60,,,,Spate et al. 2017,"Wheat, broomcorn millet, lentil, pea",TRUE,,,TRUE,,,,,,,,,,,,
585,Qasim Bagh,74.5,34.22,Ansto OZT620,Charcoal/QB13 ,TRUE,3705,45,,,,Spate et al. 2017,"Wheat, lentil, pea",TRUE,,,,,,,,,,,,,,,
585,Qasim Bagh,74.5,34.22,Ansto OZT619 ,Charcoal/QB10,TRUE,3775,40,,,,Spate et al. 2017,"Wheat, lentil, pea",TRUE,,,,,,,,,,,,,,,
585,Qasim Bagh,74.5,34.22,Beta 450511 ,Millet/QB8  ,TRUE,3140,30,,,,Spate et al. 2017,"Wheat, broomcorn millet, lentil, pea",TRUE,,,TRUE,,,,,,,,,,,,
585,Qasim Bagh,74.5,34.22,Beta 450513  ,Wheat/QB13,TRUE,3420,30,,,,Spate et al. 2017,"Wheat, lentil, pea",TRUE,,,,,,,,,,,,,,,
585,Qasim Bagh,74.5,34.22,Beta 450514 ,Wheat/QB10 ,TRUE,3530,30,,,,Spate et al. 2017,"Wheat, lentil, pea",TRUE,,,,,,,,,,,,,,,
585,Qasim Bagh,74.5,34.22,Beta 450512  ,Wheat/QB8,TRUE,3590,30,,,,Spate et al. 2017,"Wheat, broomcorn millet, lentil, pea",TRUE,,,TRUE,,,,,,,,,,,,
585,Qasim Bagh,74.5,34.22,Ansto OZT622  ,Charcoal/QB4,TRUE,3525,25,,,,Spate et al. 2017,"Wheat, broomcorn millet, lentil, pea",TRUE,,,TRUE,,,,,,,,,,,,
585,Qasim Bagh,74.5,34.22,Ansto OZT623   ,Charcoal/QB6,TRUE,3555,25,,,,Spate et al. 2017,"Wheat, broomcorn millet, lentil, pea",TRUE,,,TRUE,,,,,,,,,,,,
,Kyul-tepe,,,,,,,,,,,Lisitsina 1984,,,,,,,,,,,,,,,,,
,Kyzyl,94.4,51.7,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tahirbai-tepe,,,,,,,,,,,Hunt et al. 2008,,,,,,,,,,,,,,,,,
